*Folder: /media/alex/ALEXDATA/data_sets/HEALTH/HOSPITALIZATION/MT/

NUMBER	STATE	FILE	SHAPE	J-CASES
1 MT RDMT0001.dbf (17368, 60) 22.536 %
2 MT RDMT0002.dbf (16886, 60) 23.848 %
3 MT RDMT0003.dbf (16958, 60) 25.893 %
4 MT RDMT0004.dbf (16684, 60) 25.827 %
5 MT RDMT0005.dbf (16782, 60) 22.834 %
6 MT RDMT0006.dbf (16485, 60) 22.475 %
7 MT RDMT0007.dbf (15962, 60) 22.378 %
8 MT RDMT0008.dbf (17284, 60) 23.131 %
9 MT RDMT0009.dbf (16226, 60) 21.737 %
10 MT RDMT0010.dbf (16580, 60) 20.398 %
11 MT RDMT0011.dbf (16677, 60) 20.555 %
12 MT RDMT0012.dbf (15091, 60) 21.914 %
13 MT RDMT0101.dbf (15798, 60) 22.288 %
14 MT RDMT0102.dbf (15670, 60) 20.472 %
15 MT RDMT0103.dbf (16128, 60) 19.717 %
16 MT RDMT0104.dbf (16140, 60) 22.274 %
17 MT RDMT0105.dbf (16203, 60) 22.539 %
18 MT RDMT0106.dbf (16394, 60) 24.442 %
19 MT RDMT0107.dbf (17330, 60) 25.303 %
20 MT RDMT0108.dbf (16699, 60) 24.139 %
21 MT RDMT0109.dbf (16808, 60) 23.346 %
22 MT RDMT0110.dbf (16589, 60) 23.504 %
23 MT RDMT0111.dbf (16170, 60) 24.607 %
24 MT RDMT0112.dbf (15155, 60) 23.985 %
25 MT RDMT0201.dbf (15771, 65) 22.896 %
26 MT RDMT0202.dbf (16299, 65) 22.474 %
27 MT RDMT0203.dbf (16180, 65) 22.936 %
28 MT RDMT0204.dbf (16545, 65) 22.756 %
29 MT RDMT0205.dbf (16596, 65) 21.855 %
30 MT RDMT0206.dbf (17377, 65) 21.126 %
31 MT RDMT0207.dbf (16561, 65) 22.227 %
32 MT RDMT0208.dbf (17385, 68) 20.196 %
33 MT RDMT0209.dbf (17743, 68) 20.425 %
34 MT RDMT0210.dbf (17163, 68) 20.008 %
35 MT RDMT0211.dbf (17505, 68) 20.668 %
36 MT RDMT0212.dbf (17043, 68) 19.116 %
37 MT RDMT0301.dbf (16824, 68) 19.121 %
38 MT RDMT0302.dbf (17487, 68) 17.642 %
39 MT RDMT0303.dbf (16808, 68) 20.074 %
40 MT RDMT0304.dbf (17690, 68) 20.124 %
41 MT RDMT0305.dbf (16915, 68) 21.454 %
42 MT RDMT0306.dbf (17669, 68) 22.361 %
43 MT RDMT0307.dbf (16959, 68) 21.581 %
44 MT RDMT0308.dbf (16559, 69) 20.194 %
45 MT RDMT0309.dbf (16336, 69) 18.915 %
46 MT RDMT0310.dbf (16221, 69) 18.951 %
47 MT RDMT0311.dbf (17351, 69) 18.587 %
48 MT RDMT0312.dbf (16984, 69) 18.123 %
49 MT RDMT0401.dbf (15558, 69) 19.379 %
50 MT RDMT0402.dbf (16467, 69) 19.730 %
51 MT RDMT0403.dbf (13585, 69) 25.727 %
52 MT RDMT0404.dbf (13854, 69) 22.817 %
53 MT RDMT0405.dbf (22036, 69) 22.418 %
54 MT RDMT0406.dbf (16081, 69) 19.047 %
55 MT RDMT0407.dbf (17513, 68) 18.152 %
56 MT RDMT0408.dbf (17834, 67) 17.579 %
57 MT RDMT0409.dbf (17425, 67) 19.329 %
58 MT RDMT0410.dbf (16957, 67) 18.989 %
59 MT RDMT0411.dbf (15296, 67) 18.214 %
60 MT RDMT0412.dbf (14795, 67) 16.404 %
61 MT RDMT0501.dbf (16930, 69) 16.810 %
62 MT RDMT0502.dbf (16734, 69) 14.581 %
63 MT RDMT0503.dbf (16588, 69) 15.825 %
64 MT RDMT0504.dbf (17676, 69) 18.935 %
65 MT RDMT0505.dbf (16900, 69) 20.355 %
66 MT RDMT0506.dbf (16584, 69) 18.114 %
67 MT RDMT0507.dbf (16649, 69) 17.611 %
68 MT RDMT0508.dbf (16716, 69) 17.414 %
69 MT RDMT0509.dbf (17152, 69) 14.820 %
70 MT RDMT0510.dbf (16736, 69) 14.974 %
71 MT RDMT0511.dbf (16990, 69) 14.467 %
72 MT RDMT0512.dbf (15112, 69) 14.406 %
73 MT RDMT0601.dbf (14219, 70) 13.883 %
74 MT RDMT0602.dbf (14805, 70) 13.347 %
75 MT RDMT0603.dbf (15042, 70) 14.047 %
76 MT RDMT0604.dbf (15355, 75) 15.624 %
77 MT RDMT0605.dbf (15798, 75) 17.502 %
78 MT RDMT0607.dbf (15262, 75) 17.645 %
79 MT RDMT0610.dbf (15500, 75) 15.348 %
80 MT RDMT0611.dbf (14887, 75) 14.341 %
81 MT RDMT0612.dbf (14585, 75) 14.261 %
82 MT RDMT0701.dbf (14000, 75) 14.657 %
83 MT RDMT0702.dbf (14800, 75) 14.520 %
84 MT RDMT0704.dbf (15387, 75) 16.650 %
85 MT RDMT0705.dbf (15140, 75) 16.480 %
86 MT RDMT0708.dbf (14642, 75) 16.671 %
87 MT RDMT0709.dbf (15338, 75) 17.153 %
88 MT RDMT0710.dbf (14923, 75) 16.498 %
89 MT RDMT0711.dbf (15024, 75) 14.577 %
90 MT RDMT0802.dbf (14381, 86) 13.427 %
91 MT RDMT0803.dbf (14226, 86) 15.999 %
