ID,NM_UF,NM_MUNICIP,CD_GEOCODM_SUS,LONG,LAT
1,RONDÔNIA,ALTA FLORESTA D'OESTE,110001,-61.9998238962936,-11.9355403047646
7,RONDÔNIA,ARIQUEMES,110002,-63.0332692780484,-9.9084628665672
8,RONDÔNIA,CABIXI,110003,-60.5443135812009,-13.4997634596963
10,RONDÔNIA,CACOAL,110004,-61.4429442118224,-11.4338650286852
19,RONDÔNIA,CEREJEIRAS,110005,-60.8184261646815,-13.1950330320399
20,RONDÔNIA,COLORADO DO OESTE,110006,-60.5550674630789,-13.1305638414553
21,RONDÔNIA,CORUMBIARA,110007,-60.9487011706614,-12.9975202364834
24,RONDÔNIA,COSTA MARQUES,110008,-64.2316539391172,-12.4360138777142
27,RONDÔNIA,ESPIGÃO D'OESTE,110009,-61.0201731132847,-11.5285546333473
32,RONDÔNIA,GUAJARÁ-MIRIM,110010,-65.3239518196923,-10.7738837406705
37,RONDÔNIA,JARU,110011,-62.4762307081317,-10.4359487678844
42,RONDÔNIA,JI-PARANÁ,110012,-61.9450945826841,-10.882051318349
45,RONDÔNIA,MACHADINHO D'OESTE,110013,-61.9995925724466,-9.42556248
49,RONDÔNIA,NOVA BRASILÂNDIA D'OESTE,110014,-62.308230163019,-11.7213254138559
50,RONDÔNIA,OURO PRETO DO OESTE,110015,-62.2610551904363,-10.7235739008135
52,RONDÔNIA,PIMENTA BUENO,110018,-61.183665673642,-11.67753699
54,RONDÔNIA,PORTO VELHO,110020,-63.8314456543611,-8.76889179
68,RONDÔNIA,PRESIDENTE MÉDICI,110025,-61.9094386835298,-11.1732050162268
73,RONDÔNIA,RIO CRESPO,110026,-62.9000103659589,-9.70553670973949
74,RONDÔNIA,ROLIM DE MOURA,110028,-61.7857809351854,-11.7222589133808
76,RONDÔNIA,SANTA LUZIA D'OESTE,110029,-61.7733054630545,-11.908423332469
77,RONDÔNIA,VILHENA,110030,-60.1385838660987,-12.7413734718029
79,RONDÔNIA,SÃO MIGUEL DO GUAPORÉ,110032,-62.7200634814364,-11.699489743806
81,RONDÔNIA,NOVA MAMORÉ,110033,-65.3291490231467,-10.4117712947002
86,RONDÔNIA,ALVORADA D'OESTE,110034,-62.2772748656972,-11.3441300234334
89,RONDÔNIA,ALTO ALEGRE DOS PARECIS,110037,-61.853077168603,-12.1317772245709
91,RONDÔNIA,ALTO PARAÍSO,110040,-63.3176294334976,-9.71666673807728
92,RONDÔNIA,BURITIS,110045,-63.8296787917565,-10.2098054072356
93,RONDÔNIA,NOVO HORIZONTE DO OESTE,110050,-61.9943876627606,-11.7097429200152
95,RONDÔNIA,CACAULÂNDIA,110060,-62.9031899345687,-10.3388728393928
96,RONDÔNIA,CAMPO NOVO DE RONDÔNIA,110070,-63.6249914265426,-10.5684164693485
98,RONDÔNIA,CANDEIAS DO JAMARI,110080,-63.7000200718298,-8.78502070347748
101,RONDÔNIA,CASTANHEIRAS,110090,-61.9491611964662,-11.4268422254625
103,RONDÔNIA,CHUPINGUAIA,110092,-60.9018477499554,-12.5568407610938
106,RONDÔNIA,CUJUBIM,110094,-62.5871745319209,-9.37819339905712
107,RONDÔNIA,GOVERNADOR JORGE TEIXEIRA,110100,-62.7404576394632,-10.6120717726075
109,RONDÔNIA,ITAPUÃ DO OESTE,110110,-63.1823370165183,-9.19187167532785
110,RONDÔNIA,MINISTRO ANDREAZZA,110120,-61.5189219301054,-11.1962379841591
111,RONDÔNIA,MIRANTE DA SERRA,110130,-62.6694270952566,-11.045609289937
112,RONDÔNIA,MONTE NEGRO,110140,-63.2955591672175,-10.263097755883
113,RONDÔNIA,NOVA UNIÃO,110143,-62.55508939888,-10.9155320416628
114,RONDÔNIA,PARECIS,110145,-61.5979979726776,-12.1798270507077
115,RONDÔNIA,PIMENTEIRAS DO OESTE,110146,-61.0443790025384,-13.4765620024615
116,RONDÔNIA,PRIMAVERA DE RONDÔNIA,110147,-61.3165462429165,-11.8257069542468
118,RONDÔNIA,SÃO FELIPE D'OESTE,110148,-61.5125081133327,-11.9143893546886
120,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,110149,-63.5708647107649,-12.0637984122334
122,RONDÔNIA,SERINGUEIRAS,110150,-63.0387609977072,-11.767116635607
125,RONDÔNIA,TEIXEIRÓPOLIS,110155,-62.2559222539546,-10.9321692860399
126,RONDÔNIA,THEOBROMA,110160,-62.3451455299349,-10.2487305520261
128,RONDÔNIA,URUPÁ,110170,-62.3706324537667,-11.1285452756794
131,RONDÔNIA,VALE DO ANARI,110175,-62.1768234421278,-9.85139270806179
132,RONDÔNIA,VALE DO PARAÍSO,110180,-62.1343903568099,-10.4310526845565
134,ACRE,ACRELÂNDIA,120001,-67.0523165800206,-10.0737938924635
136,ACRE,ASSIS BRASIL,120005,-69.5634591746677,-10.9428656809172
137,ACRE,BRASILÉIA,120010,-68.7479434259584,-11.0164110190858
139,ACRE,BUJARI,120013,-67.9518592792015,-9.82001962670938
140,ACRE,CAPIXABA,120017,-67.6735079719432,-10.5697677087928
